2025-04-23 19:10:44 - Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 19:10:44] [::1] [Not logged in] Error al registrar cierre de sesión: Error al llamar al procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
2025-04-23 19:11:04 - Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 19:11:04] [::1] [user1] Error en login: Error al llamar al procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': Error al ejecutar el procedimiento 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC': ORA-06550: line 1, column 7:
PLS-00201: identifier 'FIDE_SEGURIDAD_PKG.FIDE_REGISTRAR_LOG_ACCESO_PROC' must be declared
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:40] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:47] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:56] [::1] [user1] Error al formatear fecha: Failed to parse time string (24-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:56] [::1] [user1] Error al formatear fecha: Failed to parse time string (25-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:56] [::1] [user1] Error al formatear fecha: Failed to parse time string (26-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:56] [::1] [user1] Error al formatear fecha: Failed to parse time string (27-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
[2025-04-23 23:55:56] [::1] [user1] Error al formatear fecha: Failed to parse time string (28-APR-25 06:43:00.000000 AM) at position 26 (A): The timezone could not be found in the database
